,pipeline,fa_score,fr_score,ee_rate,dcf,threshold,accuracy,distance_self_mean,distance_self_std,distance_other_mean,distance_other_std,elapsed_time_mean,elapsed_time_std
pyannote,pyannote,0.14814814814814814,0.14928909952606634,0.14871862383710724,0.7777777777777778,0.16438562033023774,0.85125,0.9219262808018855,0.2070981141629619,1.3384883072270142,0.06991631038258002,0.045553428572503094,0.029105474599676395
wavlm-base-sv,wavlm-base-sv,0.15873015873015872,0.16113744075829384,0.15993379974422628,0.9312169312169312,0.8511311370069858,0.84,0.3504419882966088,0.2498256314292327,0.8349697056139254,0.23927924935914632,1.117170015063757,0.6363567256905795
wavlm-base-plus-sv,wavlm-base-plus-sv,0.15079365079365079,0.14928909952606634,0.15004137515985855,0.9761904761904762,0.812889164179438,0.85,0.36140031539670675,0.2699951409247124,0.8494605767550443,0.20932023745748593,1.3822771090262547,0.7866259627685127
titanet,titanet,0.1349206349206349,0.13507109004739337,0.13499586248401413,0.7010582010582009,0.1897889312983358,0.865,0.7732893943543576,0.2584528271361976,1.3475149149348071,0.08613967069694155,0.42583674276750455,0.18086437582632683
ecapa,ecapa,0.15343915343915343,0.15402843601895735,0.1537337947290554,0.9021665538253216,0.1565288946618712,0.84625,0.8384251229954075,0.25031817003277995,1.3470861882078444,0.07261105473647245,1.1021847910099842,0.46316715425971844
