,pipeline,fa_score,fr_score,ee_rate,dcf,threshold,accuracy,distance_self_mean,distance_self_std,distance_other_mean,distance_other_std,elapsed_time_mean,elapsed_time_std
pyannote,pyannote,0.044444444444444446,0.044444444444444446,0.044444444444444446,0.8022222222222222,0.3024642516346971,0.9555555555555556,0.7487954406937092,0.20797390514297476,1.3394242645471834,0.08379930837016743,0.04742943642559718,0.006436890624215151
wavlm-base-sv,wavlm-base-sv,0.07111111111111111,0.06888888888888889,0.07,0.7733333333333333,0.9290027697020791,0.93,0.2278826278332556,0.15955762438326584,0.8196388063599163,0.2735469102894094,0.04808983131332247,0.0073319661093444195
wavlm-base-plus-sv,wavlm-base-plus-sv,0.06,0.06,0.06,0.8122222222222222,0.917736223993703,0.94,0.23508648539852542,0.16590396375382063,0.8330149330484228,0.23624359347080714,0.045154961118359,0.0024334001830588394
titanet,titanet,0.04111111111111111,0.04111111111111111,0.04111111111111111,0.711111111111111,0.3261184617574192,0.9588888888888889,0.572966542438214,0.2167674443179684,1.3530787219032103,0.0898657531990705,0.018252761102786383,0.002017865766173471
ecapa,ecapa,0.04777777777777778,0.04666666666666667,0.04722222222222222,0.7477777777777778,0.2952052757813248,0.9527777777777777,0.6310480455645395,0.22822698284557802,1.3569720635431086,0.08472628590450004,0.018192336658806502,0.00183028992723234
