,pipeline,fa_score,fr_score,ee_rate,dcf,threshold,accuracy,distance_self_mean,distance_self_std,distance_other_mean,distance_other_std,elapsed_time_mean,elapsed_time_std
pyannote,pyannote,0.04555555555555556,0.04555555555555556,0.04555555555555556,0.7966666666666666,0.307523791854446,0.9544444444444444,0.74879545,0.2079739,1.3415803,0.08407837,0.07032339323719498,0.025642499733696252
wavlm-base-sv,wavlm-base-sv,0.06444444444444444,0.06777777777777778,0.06611111111111112,0.7855555555555556,0.9256830741245825,0.9338888888888889,0.22788262,0.15955763,0.82526314,0.26979572,3.1294158925121964,0.7357432164450697
wavlm-base-plus-sv,wavlm-base-plus-sv,0.058888888888888886,0.057777777777777775,0.058333333333333334,0.7866666666666666,0.9150133839061668,0.9416666666666667,0.23508647,0.16590397,0.84558815,0.23360483,3.4076154118715567,0.7223390968832617
titanet,titanet,0.04111111111111111,0.04111111111111111,0.04111111111111111,0.6988888888888889,0.33343763725535647,0.9588888888888889,0.5729666,0.21676745,1.3552798,0.09372907,0.8644081901837166,0.21656210434983034
ecapa,ecapa,0.04777777777777778,0.04777777777777778,0.04777777777777778,0.7344444444444443,0.30944562786155283,0.9522222222222222,0.631048,0.22822699,1.3567196,0.08838354,2.783025811125149,0.14355345427920654
