,pipeline,fa_score,fr_score,ee_rate,dcf,threshold,accuracy,distance_self_mean,distance_self_std,distance_other_mean,distance_other_std,elapsed_time_mean,elapsed_time_std
pyannote,pyannote,0.061224489795918366,0.058823529411764705,0.060024009603841535,1.2220888355342134,0.3024642516346971,0.94,0.7431445448714126,0.19457374543069955,1.2391214551307723,0.09261633292865518,0.06570172956875922,0.009174426113987994
wavlm-base-sv,wavlm-base-sv,0.07397959183673469,0.11519607843137254,0.09458783513405361,1.5208083233293317,0.9290027697020792,0.905,0.2591909341775662,0.19331842341252323,0.7983004535207656,0.26334842534488795,0.08838038606749705,0.01251894161701818
wavlm-base-plus-sv,wavlm-base-plus-sv,0.05612244897959184,0.09068627450980392,0.07340436174469787,1.1570128051220485,0.917736223993703,0.92625,0.2700343405570905,0.21838550349345248,0.809533299267396,0.2216075084100643,0.1053384965700252,0.022484129627618935
titanet,titanet,0.04846938775510204,0.061274509803921566,0.054871948779511806,0.9821928771508603,0.3261184617574192,0.945,0.6258139942942587,0.22679649517037007,1.2894407050092693,0.10583680563772532,0.044813982766227126,0.005982006210809852
ecapa,ecapa,0.03826530612244898,0.06862745098039216,0.05344637855142057,0.7956682673069227,0.2952052757813248,0.94625,0.669384434281468,0.2327478997635256,1.27762379386151,0.0915565621507301,0.0434384515824604,0.005003130911628366
