,pipeline,fa_score,fr_score,ee_rate,dcf,threshold,accuracy,distance_self_mean,distance_self_std,distance_other_mean,distance_other_std,elapsed_time_mean,elapsed_time_std
pyannote,pyannote,0.0,0.0,0.0,0.0,0.4033846086687273,1.0,0.73880124,0.109596945,1.3158764,0.090412445,0.09616701041106555,0.01680768752434502
wavlm-base-sv,wavlm-base-sv,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.02222222222222222,0.942455583059036,0.9777777777777777,0.20691144,0.05457643,0.81789243,0.25689286,2.2200523749778465,0.022279588303075578
wavlm-base-plus-sv,wavlm-base-plus-sv,0.06666666666666667,0.044444444444444446,0.05555555555555555,0.06666666666666667,0.921988490465525,0.9444444444444444,0.21448034,0.07886121,0.8053798,0.23123921,2.2196870657555134,0.018907829213649516
titanet,titanet,0.0,0.0,0.0,0.0,0.31189820501539445,1.0,0.5466725,0.17849642,1.3341565,0.0898099,0.6232633469334663,0.02247745278696998
ecapa,ecapa,0.0,0.0,0.0,0.0,0.34429339138237214,1.0,0.5691447,0.16304086,1.3478067,0.085877076,1.9919709714333294,0.01953943786518448
