,pipeline,fa_score,fr_score,ee_rate,dcf,threshold,accuracy,distance_self_mean,distance_self_std,distance_other_mean,distance_other_std,elapsed_time_mean,elapsed_time_std
pyannote,pyannote,0.0,0.0,0.0,0.0,0.3417688285311063,1.0,0.7488707,0.08860975,1.3055366,0.08665362,0.09417107887776284,0.01548229425725223
wavlm-base-sv,wavlm-base-sv,0.08888888888888889,0.08888888888888889,0.08888888888888889,0.1111111111111111,0.9673410754005711,0.9111111111111111,0.1873727,0.04366841,0.75612897,0.37411448,2.2158554734222786,0.017693333823472716
wavlm-base-plus-sv,wavlm-base-plus-sv,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.20000000000000004,0.9543396752995176,0.8666666666666667,0.23506929,0.049571764,0.7576151,0.33769745,2.2139070989443805,0.020328852521350513
titanet,titanet,0.0,0.0,0.0,0.0,0.5048988999069871,1.0,0.52500176,0.08253398,1.2676804,0.12739748,0.631267812633319,0.023956910542169252
ecapa,ecapa,0.0,0.0,0.0,0.0,0.4342265119692227,1.0,0.5419061,0.084253356,1.3081919,0.111313105,1.9906588466111013,0.018877347149328243
