,pipeline,fa_score,fr_score,ee_rate,dcf,threshold,accuracy,distance_self_mean,distance_self_std,distance_other_mean,distance_other_std,elapsed_time_mean,elapsed_time_std
pyannote,pyannote,0.0,0.0,0.0,0.0,0.3458374155250875,1.0,0.88339597,0.099472106,1.3431542,0.07839693,0.10990946349999528,0.01728158022331232
wavlm-base-sv,wavlm-base-sv,0.044444444444444446,0.044444444444444446,0.044444444444444446,0.08888888888888888,0.9439413415956067,0.9555555555555556,0.23899093,0.06573414,0.8236985,0.30273223,2.293120171577761,0.019097261027320303
wavlm-base-plus-sv,wavlm-base-plus-sv,0.06666666666666667,0.044444444444444446,0.05555555555555555,0.1111111111111111,0.9284864335924059,0.9444444444444444,0.2395941,0.067608714,0.78639436,0.24633174,2.2276744235222217,0.030960588422247495
titanet,titanet,0.0,0.0,0.0,0.0,0.3770657313672511,1.0,0.6729799,0.10473199,1.3298758,0.08049033,0.6330137432777823,0.028320050329742438
ecapa,ecapa,0.0,0.0,0.0,0.0,0.4113614009814458,1.0,0.70978653,0.108341195,1.3478587,0.0942486,1.9980609828666602,0.01958274700367219
