,pipeline,fa_score,fr_score,ee_rate,dcf,threshold,accuracy,distance_self_mean,distance_self_std,distance_other_mean,distance_other_std,elapsed_time_mean,elapsed_time_std
pyannote,pyannote,0.0,0.0,0.0,0.0,0.3516161232977897,1.0,0.7023852,0.05966176,1.3301516,0.07827477,0.0829539968444452,0.13396929140483754
wavlm-base-sv,wavlm-base-sv,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.04444444444444444,0.957413133110728,0.9777777777777777,0.21202177,0.03653888,0.938529,0.30215746,1.6062921650444433,0.18026552641644683
wavlm-base-plus-sv,wavlm-base-plus-sv,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.02222222222222222,0.9607122047646746,0.9777777777777777,0.18540268,0.038544208,0.8841016,0.2611558,2.2309347035666667,0.022534035438718417
titanet,titanet,0.0,0.0,0.0,0.0,0.3844321614338292,1.0,0.5196128,0.07393837,1.3327217,0.085081086,0.638177515655554,0.01629645434627525
ecapa,ecapa,0.0,0.0,0.0,0.0,0.3825253578232931,1.0,0.59498954,0.0912628,1.3367612,0.09554348,1.9826121825777812,0.015646187993228172
