,pipeline,fa_score,fr_score,ee_rate,dcf,threshold,accuracy,distance_self_mean,distance_self_std,distance_other_mean,distance_other_std,elapsed_time_mean,elapsed_time_std
pyannote,pyannote,0.0,0.0,0.0,0.0,0.34552435674988946,1.0,0.7036886,0.061125614,1.3239987,0.0674693,0.12039337348887784,0.035194685735198745
wavlm-base-sv,wavlm-base-sv,0.0,0.0,0.0,0.0,0.9434436645593729,1.0,0.1890831,0.036856476,0.774561,0.20072977,2.5449716448333333,0.639838247331523
wavlm-base-plus-sv,wavlm-base-plus-sv,0.0,0.0,0.0,0.0,0.9380564122825295,1.0,0.16849095,0.030704478,0.79591113,0.18498273,2.3174046580555467,0.140198460403664
titanet,titanet,0.0,0.0,0.0,0.0,0.39030536433478613,1.0,0.48733458,0.047329843,1.3586862,0.08254561,0.6581818839111242,0.020882616286330417
ecapa,ecapa,0.0,0.0,0.0,0.0,0.36812665622245083,1.0,0.55330443,0.04766722,1.3514773,0.07373522,2.030496095833329,0.019462828031789847
