,pipeline,fa_score,fr_score,ee_rate,dcf,threshold,accuracy,distance_self_mean,distance_self_std,distance_other_mean,distance_other_std,elapsed_time_mean,elapsed_time_std
pyannote,pyannote,0.0,0.0,0.0,0.0,0.3686425803346677,1.0,0.68196386,0.049725715,1.318241,0.084226765,0.0932240406999578,0.015244873421755914
wavlm-base-sv,wavlm-base-sv,0.0,0.0,0.0,0.0,0.9648316727505551,1.0,0.14741305,0.034382872,0.7208664,0.24144332,2.260657868344485,0.040518832247520016
wavlm-base-plus-sv,wavlm-base-plus-sv,0.044444444444444446,0.044444444444444446,0.044444444444444446,0.08888888888888888,0.96705140288289,0.9555555555555556,0.14790204,0.05018945,0.74651974,0.24960107,2.2868292509778256,0.01984454725561881
titanet,titanet,0.0,0.0,0.0,0.0,0.5314928278312072,1.0,0.4847825,0.060449738,1.3064504,0.12023074,0.6565523450443127,0.024096909274056496
ecapa,ecapa,0.0,0.0,0.0,0.0,0.48667700593177976,1.0,0.5048914,0.045492463,1.3239017,0.116317794,2.0520084745333507,0.07842277549533204
