,pipeline,fa_score,fr_score,ee_rate,dcf,threshold,accuracy,distance_self_mean,distance_self_std,distance_other_mean,distance_other_std,elapsed_time_mean,elapsed_time_std
pyannote,pyannote,0.0,0.0,0.0,0.0,0.23655971643087026,1.0,0.8462121,0.090593666,1.3622301,0.058063157,0.10712846864442124,0.018562817682777157
wavlm-base-sv,wavlm-base-sv,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.04444444444444444,0.9173534005969852,0.9777777777777777,0.24917127,0.06566799,0.99826366,0.237349,2.2395565601444507,0.020292062525596725
wavlm-base-plus-sv,wavlm-base-plus-sv,0.0,0.0,0.0,0.0,0.9036468895705971,1.0,0.24508879,0.065557994,0.9525924,0.17157216,2.2356109623000724,0.03454436032786793
titanet,titanet,0.0,0.0,0.0,0.0,0.35188757151633765,1.0,0.64861107,0.120502844,1.3772528,0.08089264,0.6316099472889214,0.02195252871132897
ecapa,ecapa,0.0,0.0,0.0,0.0,0.302449974107432,1.0,0.6600545,0.12969157,1.3746283,0.07200968,1.994361135999942,0.02583547897813969
