,pipeline,fa_score,fr_score,ee_rate,dcf,threshold,accuracy,distance_self_mean,distance_self_std,distance_other_mean,distance_other_std,elapsed_time_mean,elapsed_time_std
pyannote,pyannote,0.0,0.0,0.0,0.0,0.1766057495359663,1.0,0.6623491,0.05639115,1.3732158,0.05215681,0.09070435487772355,0.015839010174810337
wavlm-base-sv,wavlm-base-sv,0.0,0.0,0.0,0.0,0.9355113189499658,1.0,0.15427868,0.024847446,0.7660784,0.23624165,2.215250499600087,0.018134767578684353
wavlm-base-plus-sv,wavlm-base-plus-sv,0.0,0.0,0.0,0.0,0.9273926889574206,1.0,0.17682621,0.023554344,0.81017244,0.18264772,2.2149708980889145,0.024003499948802225
titanet,titanet,0.0,0.0,0.0,0.0,0.21655420035690637,1.0,0.45861185,0.04720307,1.3960681,0.06271577,0.6267387540222343,0.027821896146397903
ecapa,ecapa,0.0,0.0,0.0,0.0,0.20098286641908958,1.0,0.59475803,0.098289005,1.3821175,0.042665046,1.9821117198777554,0.034539287021350285
