,pipeline,fa_score,fr_score,ee_rate,dcf,threshold,accuracy,distance_self_mean,distance_self_std,distance_other_mean,distance_other_std,elapsed_time_mean,elapsed_time_std
pyannote,pyannote,0.0,0.0,0.0,0.0,0.31030512901323215,1.0,0.7116585,0.04402621,1.3492968,0.067888826,0.09251626389998617,0.015920004912709406
wavlm-base-sv,wavlm-base-sv,0.0,0.0,0.0,0.0,0.9247946148520118,1.0,0.17368458,0.025978098,0.82866126,0.21542612,2.221660609977779,0.023595686863368368
wavlm-base-plus-sv,wavlm-base-plus-sv,0.0,0.0,0.0,0.0,0.9224162466891177,1.0,0.1780724,0.02837468,0.8777199,0.2400888,2.2180096710222137,0.02022918121110484
titanet,titanet,0.0,0.0,0.0,0.0,0.3164315646564638,1.0,0.52752584,0.03250812,1.3526574,0.090188384,0.6300270420999823,0.024347295663873964
ecapa,ecapa,0.0,0.0,0.0,0.0,0.2721686450031785,1.0,0.5655323,0.035999216,1.3659936,0.075516425,1.9776455721222344,0.019675100486255176
