,pipeline,fa_score,fr_score,ee_rate,dcf,threshold,accuracy,distance_self_mean,distance_self_std,distance_other_mean,distance_other_std,elapsed_time_mean,elapsed_time_std
pyannote,pyannote,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.9777777777777777,0.13582660571053937,0.7333333333333333,1.0632763,0.2668808,1.3406303,0.094651684,0.09187978459999108,0.014911477163887661
wavlm-base-sv,wavlm-base-sv,0.35555555555555557,0.35555555555555557,0.35555555555555557,0.6222222222222222,0.7573795732077178,0.6444444444444445,0.5735194,0.21128699,0.8122615,0.19592299,2.222175130522252,0.029429479615515397
wavlm-base-plus-sv,wavlm-base-plus-sv,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.5111111111111111,0.777366551372024,0.7333333333333333,0.5054762,0.21821235,0.86176956,0.20094503,2.2157944927221656,0.020879203718225985
titanet,titanet,0.26666666666666666,0.24444444444444444,0.25555555555555554,0.6888888888888889,0.16266494734330217,0.7444444444444445,1.0139346,0.30081737,1.3466029,0.077281944,0.6331983631887448,0.030409092083182977
ecapa,ecapa,0.24444444444444444,0.2222222222222222,0.23333333333333334,0.6222222222222222,0.1522570539030943,0.7666666666666667,1.0578315,0.2749991,1.3430166,0.10726526,1.9960939552222245,0.033960731561463085
