,pipeline,fa_score,fr_score,ee_rate,dcf,threshold,accuracy,distance_self_mean,distance_self_std,distance_other_mean,distance_other_std,elapsed_time_mean,elapsed_time_std
pyannote,pyannote,0.0,0.0,0.0,0.0,0.3572510152279555,1.0,0.7586575,0.07760748,1.3193125,0.0897546,0.09316864273332612,0.01576769408987293
wavlm-base-sv,wavlm-base-sv,0.0,0.0,0.0,0.0,0.9406005274784099,1.0,0.22175981,0.056259718,0.7644939,0.28009352,2.2239633315333673,0.031827150261074626
wavlm-base-plus-sv,wavlm-base-plus-sv,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.1111111111111111,0.9279331557743542,0.9777777777777777,0.21055616,0.07584178,0.7783755,0.25417414,2.221146273444396,0.02600632993851754
titanet,titanet,0.0,0.0,0.0,0.0,0.44275486388721974,1.0,0.5473842,0.10348141,1.3376973,0.09724052,0.632001764633363,0.025127286438193938
ecapa,ecapa,0.0,0.0,0.0,0.0,0.3623354860970208,1.0,0.61391515,0.13014568,1.355565,0.10319281,1.9827882325666804,0.017043807597989697
