,pipeline,fa_score,fr_score,ee_rate,dcf,threshold,accuracy,distance_self_mean,distance_self_std,distance_other_mean,distance_other_std,elapsed_time_mean,elapsed_time_std
pyannote,pyannote,0.35555555555555557,0.35555555555555557,0.35555555555555557,0.9333333333333333,0.15018233988020155,0.6444444444444445,1.0257397,0.28812918,1.3247225,0.11339728,0.09593984397779423,0.017102000228607892
wavlm-base-sv,wavlm-base-sv,0.37777777777777777,0.37777777777777777,0.37777777777777777,0.9555555555555556,0.6977527519842764,0.6222222222222222,0.5441568,0.38349408,0.8133199,0.27502272,2.2100643454000215,0.024791845555429508
wavlm-base-plus-sv,wavlm-base-plus-sv,0.35555555555555557,0.35555555555555557,0.35555555555555557,1.7999999999999998,0.7052700319089689,0.6444444444444445,0.55586046,0.4465802,0.8536287,0.22137101,2.2161390707888837,0.017670522755496514
titanet,titanet,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.7777777777777778,0.11588336409510552,0.6666666666666666,0.90285516,0.3721296,1.3485955,0.08885061,0.6257623961000415,0.02406395720014136
ecapa,ecapa,0.35555555555555557,0.35555555555555557,0.35555555555555557,0.9777777777777777,0.0933333262129947,0.6444444444444445,1.0126374,0.35752216,1.3593389,0.07309094,1.9728003969000585,0.016211605161995147
