,pipeline,fa_score,fr_score,ee_rate,dcf,threshold,accuracy,distance_self_mean,distance_self_std,distance_other_mean,distance_other_std,elapsed_time_mean,elapsed_time_std
pyannote,pyannote,0.0,0.0,0.0,0.0,0.34764291875593895,1.0,0.69811916,0.049432337,1.3336507,0.06079729,0.09193720817775101,0.015300345920003008
wavlm-base-sv,wavlm-base-sv,0.0,0.0,0.0,0.0,0.9546215182936585,1.0,0.1527613,0.026870815,0.80871415,0.3151085,2.2216143822111714,0.02680091413731637
wavlm-base-plus-sv,wavlm-base-plus-sv,0.0,0.0,0.0,0.0,0.9486770844674325,1.0,0.18168066,0.033787325,0.8097201,0.29870632,2.231388205188927,0.08053678710630427
titanet,titanet,0.0,0.0,0.0,0.0,0.35180332440439166,1.0,0.48842075,0.048701998,1.3255514,0.075140744,0.6241759301111516,0.023552710792880422
ecapa,ecapa,0.0,0.0,0.0,0.0,0.3199076496355527,1.0,0.5553456,0.057252623,1.3324361,0.065526925,1.9813545357556097,0.022290293007507574
