,pipeline,fa_score,fr_score,ee_rate,dcf,threshold,accuracy,distance_self_mean,distance_self_std,distance_other_mean,distance_other_std,elapsed_time_mean,elapsed_time_std
pyannote,pyannote,0.0,0.0,0.0,0.0,0.21504642751004488,1.0,0.7270777,0.07376131,1.39675,0.053820502,0.09353533445555513,0.015059143374008268
wavlm-base-sv,wavlm-base-sv,0.0,0.0,0.0,0.0,0.8433216321575749,1.0,0.2208423,0.040145546,0.8469113,0.15320763,2.220348745844361,0.021893295813625764
wavlm-base-plus-sv,wavlm-base-plus-sv,0.0,0.0,0.0,0.0,0.7907431332079378,1.0,0.23679692,0.045429207,0.8885233,0.10076658,2.2124064295111463,0.026285419947594212
titanet,titanet,0.0,0.0,0.0,0.0,0.1751608165415438,1.0,0.52074313,0.057264645,1.4235642,0.062447492,0.630043974011197,0.023651174896102405
ecapa,ecapa,0.0,0.0,0.0,0.0,0.15432998511168333,1.0,0.61754024,0.06318358,1.391886,0.047001682,1.9802107694665514,0.01908633255530394
