,pipeline,fa_score,fr_score,ee_rate,dcf,threshold,accuracy,distance_self_mean,distance_self_std,distance_other_mean,distance_other_std,elapsed_time_mean,elapsed_time_std
pyannote,pyannote,0.0,0.0,0.0,0.0,0.5919325324866148,1.0,0.16742422,0.022908645,1.4042122,0.08457923,0.09225581673332878,0.01666304721267013
wavlm-base-sv,wavlm-base-sv,0.0,0.0,0.0,0.0,0.8298009367318483,1.0,0.067667685,0.020213732,1.008386,0.17786689,2.2161301716443935,0.02663377025844205
wavlm-base-plus-sv,wavlm-base-plus-sv,0.0,0.0,0.0,0.0,0.7998425166408818,1.0,0.013781713,0.0031173863,1.0376498,0.15603307,2.2081161912332896,0.017773864293018013
titanet,titanet,0.0,0.0,0.0,0.0,0.17685055839377006,1.0,0.20870711,0.03806111,1.3860594,0.045484334,0.6269001273221976,0.028031420853741423
ecapa,ecapa,0.0,0.0,0.0,0.0,0.4133562167008241,1.0,0.1473441,0.014616841,1.430656,0.06460576,1.9775590388556137,0.018972746680618203
