,pipeline,fa_score,fr_score,ee_rate,dcf,threshold,accuracy,distance_self_mean,distance_self_std,distance_other_mean,distance_other_std,elapsed_time_mean,elapsed_time_std
pyannote,pyannote,0.0,0.0,0.0,0.0,0.3215072012102759,1.0,0.7166326,0.055934478,1.3434285,0.080693826,0.11398025704446708,0.0214312848985885
wavlm-base-sv,wavlm-base-sv,0.0,0.0,0.0,0.0,0.9364993088954203,1.0,0.16486591,0.023814695,0.8155755,0.29573154,2.300256244000068,0.07770659286455835
wavlm-base-plus-sv,wavlm-base-plus-sv,0.0,0.0,0.0,0.0,0.944106911753749,1.0,0.2175414,0.041541807,0.81505865,0.23173003,2.294405857599971,0.02382364060405265
titanet,titanet,0.0,0.0,0.0,0.0,0.2881313969005455,1.0,0.50510263,0.049062964,1.3627452,0.08036127,0.6644393920777778,0.024627978608787463
ecapa,ecapa,0.0,0.0,0.0,0.0,0.20972532397872573,1.0,0.6413618,0.07894375,1.3750817,0.047803108,2.006671065500086,0.02132533584671953
